"","value","value"
"6240","SHC1","Tie2 Signaling"
"6241","SHC1","Fc-epsilon receptor I signaling in mast cells"
"6242","SHC1","Signaling events regulated by Ret tyrosine kinase"
"6243","SHC1","Integrin-mediated Cell Adhesion"
"6244","SHC1","Signaling Pathways"
"6245","SHC1","Leptin signaling pathway"
"6246","SHC1","ErbB4 signaling events"
"6247","SHC1","BDNF signaling pathway"
"6248","SHC1","Adaptive Immune System"
"6249","SHC1","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"
"6250","SHC1","Innate Immune System"
"6251","SHC1","SHC-related events"
"6252","SHC1","FCERI mediated Ca+2 mobilization"
"6253","SHC1","FGF signaling pathway"
"6254","SHC1","AGE/RAGE pathway"
"6255","SHC1","B Cell Receptor Signaling Pathway"
"6256","SHC1","Cytokine Signaling in Immune system"
"6257","SHC1","EPHA2 forward signaling"
"6258","SHC1","PDGF Pathway"
"6259","SHC1","lymph node"
"6260","SHC1","positive regulation of smooth muscle cell proliferation"
"6261","SLC25A6","protein localization to mitochondrion"
"6262","SLC25A6","lymph node"
"6263","SLC25A6","Clodronate"
"6264","SLC25A6","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization"
"6265","SLC25A6","HIV Infection"
"6266","SLC25A6","Metabolism"
"6267","SLC25A6","Host Interactions of HIV factors"
"6268","SLC25A6","Host Interactions with Influenza Factors"
"6269","SLC25A6","Influenza Virus Induced Apoptosis"
"6270","SLC25A6","Regulation of insulin secretion"
"6271","SLC25A6","Disease"
"6272","SLC25A6","Metabolism of proteins"
"6273","SLC25A6","Integration of energy metabolism"
"6274","SLC25A6","Electron Transport Chain"
"6275","SLC25A6","Interactions of Vpr with host cellular proteins"
"6276","SLC25A6","Influenza Infection"
"6277","SLC25A6","Mitochondrial protein import"
"6278","SLC25A6","Varenicline"
"6279","TRMT112","RNA (guanine-N7)-methylation"
"6280","TRMT112","lymph node"
"6281","TRMT112","Varenicline"
"6282","CEBPB","positive regulation of transcription from RNA polymerase II promoter in response to stress"
"6283","CEBPB","lymph node"
"6284","CEBPB","Adipogenesis"
"6285","CEBPB","Senescence and Autophagy in Cancer"
"6286","CEBPB","Transcriptional activation by NRF2"
"6287","CEBPB","IFN-gamma pathway"
"6288","CEBPB","Transcriptional regulation of white adipocyte differentiation"
"6289","CEBPB","FOXA1 transcription factor network"
"6290","CEBPB","Transcription factor regulation in adipogenesis"
"6291","CEBPB","IL3-mediated signaling events"
"6292","CEBPB","IL-4 Signaling Pathway"
"6293","CEBPB","C-MYB transcription factor network"
"6294","CEBPB","Cellular Senescence"
"6295","CEBPB","IL6-mediated signaling events"
"6296","CEBPB","Differentiation of white and brown adipocyte   "
"6297","CEBPB","Developmental Biology"
"6298","CEBPB","Senescence-Associated Secretory Phenotype (SASP)"
"6299","CEBPB","IL4-mediated signaling events"
"6300","CEBPB","Oncostatin M Signaling Pathway"
"6301","CEBPB","Folate-Alcohol and Cancer Pathway"
"6302","CEBPB","FOXA2 and FOXA3 transcription factor networks"
"6303","CEBPB","SIDS Susceptibility Pathways"
"6304","CEBPB","Regulation of nuclear SMAD2/3 signaling"
"6305","CEBPB","Validated nuclear estrogen receptor alpha network"
"6306","CEBPB","Cellular responses to stress"
"6307","CEBPB","Signaling mediated by p38-alpha and p38-beta"
"6308","CEBPB","Ovarian Infertility Genes"
"6309","CEBPB","Diurnally Regulated Genes with Circadian Orthologs"
"6310","CEBPB","IL17 signaling pathway"
"6311","CEBPB","Regulation of retinoblastoma protein"
"6312","CEBPB","Clonidine"
"6313","CEBPB","Varenicline"
"6314","JMJD6","protein hydroxylation"
"6315","JMJD6","lymph node"
"6316","JMJD6","Varenicline"
"6317","RHOT2","regulation of membrane permeability"
"6318","RHOT2","lymph node"
"6319","RHOT2","Rho GTPase cycle"
"6320","RHOT2","Signaling Pathways"
"6321","RHOT2","Varenicline"
"6322","MPG","purine-containing compound catabolic process"
"6323","MPG","lymph node"
"6324","MPG","Base-free sugar-phosphate removal via the single-nucleotide replacement pathway"
"6325","MPG","Resolution of AP sites via the single-nucleotide replacement pathway"
"6326","MPG","Base Excision Repair"
"6327","MPG","Cleavage of the damaged purine"
"6328","MPG","Base-Excision Repair, AP Site Formation"
"6329","MPG","Removal of DNA patch containing abasic residue"
"6330","MPG","DNA Repair"
"6331","MPG","Validated nuclear estrogen receptor alpha network"
"6332","MPG","Displacement of DNA glycosylase by APE1"
"6333","MPG","Varenicline"
"6334","BAX","immune response-regulating signaling pathway"
"6335","BAX","lymph node"
"6336","BAX","Caspase Cascade in Apoptosis"
"6337","BAX","Amyotrophic lateral sclerosis (ALS)"
"6338","BAX","Syndecan-2-mediated signaling events"
"6339","BAX","DNA Damage Response"
"6340","BAX","Glucocorticoid receptor regulatory network"
"6341","BAX","Integrated Pancreatic Cancer Pathway"
"6342","BAX","Validated targets of C-MYC transcriptional activation"
"6343","BAX","miRNA Regulation of DNA Damage Response"
"6344","BAX","Integrated Cancer Pathway"
"6345","BAX","Apoptosis"
"6346","BAX","Overview of nanoparticle effects"
"6347","BAX","Integrated Breast Cancer Pathway"
"6348","BAX","Role of Calcineurin-dependent NFAT signaling in lymphocytes"
"6349","BAX","DNA Damage Response (only ATM dependent)"
"6350","BAX","TNF alpha Signaling Pathway"
"6351","BAX","Rac1/Pak1/p38/MMP-2 pathway"
"6352","BAX","Apoptosis"
"6353","BAX","Validated transcriptional targets of TAp63 isoforms"
"6354","BAX","Leptin signaling pathway"
"6355","BAX","Intrinsic Pathway for Apoptosis"
"6356","BAX","Ceramide signaling pathway"
"6357","BAX","Signaling events mediated by HDAC Class III"
"6358","BAX","TP53 Network"
"6359","BAX","Direct p53 effectors"
"6360","BAX","p73 transcription factor network"
"6361","BAX","Activation, translocation and oligomerization of BAX"
"6362","BAX","Apoptosis Modulation and Signaling"
"6363","BAX","Aryl Hydrocarbon Receptor Pathway"
"6364","BAX","Varenicline"
"6365","NDUFS3","negative regulation of apoptotic process"
"6366","NDUFS3","lymph node"
"6367","NDUFS3","Doxorubicin"
"6368","NDUFS3","Metformin"
"6369","NDUFS3","Metabolism"
"6370","NDUFS3","The citric acid (TCA) cycle and respiratory electron transport"
"6371","NDUFS3","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"6372","NDUFS3","Oxidative phosphorylation"
"6373","NDUFS3","Electron Transport Chain"
"6374","NDUFS3","Respiratory electron transport"
"6375","NDUFS3","Varenicline"
"6376","MRPL11","ribonucleoprotein complex biogenesis"
"6377","MRPL11","lymph node"
"6378","MRPL11","Mitochondrial translation"
"6379","MRPL11","Mitochondrial translation initiation"
"6380","MRPL11","Mitochondrial translation termination"
"6381","MRPL11","Organelle biogenesis and maintenance"
"6382","MRPL11","Mitochondrial translation elongation"
"6383","MRPL11","Varenicline"
"6384","ENOPH1","sulfur amino acid biosynthetic process"
"6385","ENOPH1","lymph node"
"6386","ENOPH1","Metabolism"
"6387","ENOPH1","Amino acid and derivative metabolism"
"6388","ENOPH1","Sulfur amino acid metabolism"
"6389","ENOPH1","Methionine salvage pathway"
"6390","ENOPH1","Metabolism of polyamines"
"6391","ENOPH1","Varenicline"
"6392","TMEM109","cellular response to DNA damage stimulus"
"6393","TMEM109","lymph node"
"6394","TMEM109","Varenicline"
"6395","BCAP31","male gamete generation"
"6396","BCAP31","lymph node"
"6397","BCAP31","Apoptotic execution phase"
"6398","BCAP31","Apoptotic cleavage of cellular proteins"
"6399","BCAP31","Apoptosis"
"6400","BCAP31","Varenicline"
"6401","CNOT2","negative regulation of intracellular steroid hormone receptor signaling pathway"
"6402","CNOT2","lymph node"
"6403","CNOT2","Metabolism of mRNA"
"6404","CNOT2","Gene Expression"
"6405","CNOT2","Deadenylation-dependent mRNA decay"
"6406","CNOT2","Metabolism of RNA"
"6407","CNOT2","Deadenylation of mRNA"
"6408","CNOT2","Varenicline"
"6409","TMEM97","lipid homeostasis"
"6410","TMEM97","lymph node"
"6411","TMEM97","Varenicline"
"6412","CCT3","binding of sperm to zona pellucida"
"6413","CCT3","lymph node"
"6414","CCT3","Prefoldin mediated transfer of substrate to CCT/TriC"
"6415","CCT3","Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding"
"6416","CCT3","Chaperonin-mediated protein folding"
"6417","CCT3","Association of TriC/CCT with target proteins during biosynthesis"
"6418","CCT3","Protein folding"
"6419","CCT3","Formation of tubulin folding intermediates by CCT/TriC"
"6420","CCT3","Metabolism of proteins"
"6421","CCT3","Folding of actin by CCT/TriC"
"6422","CCT3","Varenicline"
"6423","UBE2C","negative regulation of mitotic metaphase/anaphase transition"
"6424","UBE2C","lymph node"
"6425","UBE2C","Separation of Sister Chromatids"
"6426","UBE2C","APC/C:Cdc20 mediated degradation of mitotic proteins"
"6427","UBE2C","Class I MHC mediated antigen processing & presentation"
"6428","UBE2C","APC/C:Cdc20 mediated degradation of Cyclin B"
"6429","UBE2C","M Phase"
"6430","UBE2C","Cell Cycle, Mitotic"
"6431","UBE2C","Cdc20:Phospho-APC/C mediated degradation of Cyclin A"
"6432","UBE2C","Mitotic Metaphase and Anaphase"
"6433","UBE2C","Cellular Senescence"
"6434","UBE2C","Gastric Cancer Network 1"
"6435","UBE2C","Mitotic Spindle Checkpoint"
"6436","UBE2C","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"
"6437","UBE2C","APC/C:Cdc20 mediated degradation of Securin"
"6438","UBE2C","Phosphorylation of the APC/C"
"6439","UBE2C","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"6440","UBE2C","Senescence-Associated Secretory Phenotype (SASP)"
"6441","UBE2C","Immune System"
"6442","UBE2C","Mitotic Anaphase"
"6443","UBE2C","APC/C-mediated degradation of cell cycle proteins"
"6444","UBE2C","Cell Cycle Checkpoints"
"6445","UBE2C","Autodegradation of Cdh1 by Cdh1:APC/C"
"6446","UBE2C","APC-Cdc20 mediated degradation of Nek2A"
"6447","UBE2C","Adaptive Immune System"
"6448","UBE2C","Regulation of APC/C activators between G1/S and early anaphase"
"6449","UBE2C","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"6450","UBE2C","Cellular responses to stress"
"6451","UBE2C","Cell Cycle"
"6452","UBE2C","Antigen processing: Ubiquitination & Proteasome degradation"
"6453","UBE2C","Inactivation of APC/C via direct inhibition of the APC/C complex"
"6454","UBE2C","Mitotic M-M/G1 phases"
"6455","UBE2C","Gastric Cancer Network 2"
"6456","UBE2C","Varenicline"
"6457","PSME1","Varenicline"
"6458","PSME1","G1/S Transition"
"6459","PSME1","Antigen processing-Cross presentation"
"6460","PSME1","Separation of Sister Chromatids"
"6461","PSME1","HIV Infection"
"6462","PSME1","Autodegradation of the E3 ubiquitin ligase COP1"
"6463","PSME1","B Cell Activation"
"6464","PSME1","Metabolism of mRNA"
"6465","PSME1","Metabolism"
"6466","PSME1","APC/C:Cdc20 mediated degradation of mitotic proteins"
"6467","PSME1","PCP/CE pathway"
"6468","PSME1","Cross-presentation of soluble exogenous antigens (endosomes)"
"6469","PSME1","Host Interactions of HIV factors"
"6470","PSME1","Class I MHC mediated antigen processing & presentation"
"6471","PSME1","beta-catenin independent WNT signaling"
"6472","PSME1","Gene Expression"
"6473","PSME1","Hedgehog ligand biogenesis"
"6474","PSME1","M Phase"
"6475","PSME1","Cell Cycle, Mitotic"
"6476","PSME1","Cdc20:Phospho-APC/C mediated degradation of Cyclin A"
"6477","PSME1","degradation of AXIN"
"6478","PSME1","Asymmetric localization of PCP proteins"
"6479","PSME1","CDK-mediated phosphorylation and removal of Cdc6"
"6480","PSME1","Regulation of activated PAK-2p34 by proteasome mediated degradation"
"6481","PSME1","S Phase"
"6482","PSME1","Vpu mediated degradation of CD4"
"6483","PSME1","Mitotic Metaphase and Anaphase"
"6484","PSME1","Amino acid and derivative metabolism"
"6485","PSME1","G1/S DNA Damage Checkpoints"
"6486","PSME1","DNA Replication Pre-Initiation"
"6487","PSME1","Mitotic G1-G1/S phases"
"6488","PSME1","Orc1 removal from chromatin"
"6489","PSME1","p53-Dependent G1 DNA Damage Response"
"6490","PSME1","APC/C:Cdc20 mediated degradation of Securin"
"6491","PSME1","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"6492","PSME1","Hedgehog 'off' state"
"6493","PSME1","Signaling by Wnt"
"6494","PSME1","Downstream signaling events of B Cell Receptor (BCR)"
"6495","PSME1","Mitotic M-M/G1 phases"
"6496","PSME1","SCF(Skp2)-mediated degradation of p27/p21"
"6497","PSME1","Antigen processing: Ubiquitination & Proteasome degradation"
"6498","PSME1","Cell Cycle"
"6499","PSME1","Regulation of ornithine decarboxylase (ODC)"
"6500","PSME1","GLI3 is processed to GLI3R by the proteasome"
"6501","PSME1","RNF mutants show enhanced WNT signaling and proliferation"
"6502","PSME1","DNA Replication"
"6503","PSME1","Synthesis of DNA"
"6504","PSME1","ER-Phagosome pathway"
"6505","PSME1","Regulation of mRNA stability by proteins that bind AU-rich elements"
"6506","PSME1","CDT1 association with the CDC6:ORC:origin complex"
"6507","PSME1","Signaling by WNT in cancer"
"6508","PSME1","SCF-beta-TrCP mediated degradation of Emi1"
"6509","PSME1","Removal of licensing factors from origins"
"6510","PSME1","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"6511","PSME1","Activation of NF-kappaB in B cells"
"6512","PSME1","Regulation of DNA replication"
"6513","PSME1","Degradation of GLI1 by the proteasome"
"6514","PSME1","Assembly of the pre-replicative complex"
"6515","PSME1","Signaling Pathways"
"6516","PSME1","Cyclin E associated events during G1/S transition"
"6517","PSME1","Proteasome Degradation"
"6518","PSME1","Regulation of APC/C activators between G1/S and early anaphase"
"6519","PSME1","Apoptosis"
"6520","PSME1","TCF dependent signaling in response to WNT"
"6521","PSME1","Regulation of Apoptosis"
"6522","PSME1","Adaptive Immune System"
"6523","PSME1","Degradation of GLI2 by the proteasome"
"6524","PSME1","Signaling by Hedgehog"
"6525","PSME1","Vif-mediated degradation of APOBEC3G"
"6526","PSME1","Metabolism of RNA"
"6527","PSME1","degradation of DVL"
"6528","PSME1","Autodegradation of Cdh1 by Cdh1:APC/C"
"6529","PSME1","Ubiquitin-dependent degradation of Cyclin D"
"6530","PSME1","Stabilization of p53"
"6531","PSME1","AMER1 mutants destabilize the destruction complex"
"6532","PSME1","Cell Cycle Checkpoints"
"6533","PSME1","Hh ligand biogenesis disease"
"6534","PSME1","Cyclin A:Cdk2-associated events at S phase entry"
"6535","PSME1","APC/C-mediated degradation of cell cycle proteins"
"6536","PSME1","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A"
"6537","PSME1","Mitotic Anaphase"
"6538","PSME1","AUF1 (hnRNP D0) destabilizes mRNA"
"6539","PSME1","Disease"
"6540","PSME1","Immune System"
"6541","PSME1","lymph node"
"6542","PSME1","immune response-regulating signaling pathway"
"6543","MIF","negative regulation of myeloid cell apoptotic process"
"6544","MIF","lymph node"
"6545","MIF","Adipogenesis"
"6546","MIF","Spinal Cord Injury"
"6547","MIF","Varenicline"
"6548","SNX6","regulation of transforming growth factor beta receptor signaling pathway"
"6549","SNX6","lymph node"
"6550","SNX6","Varenicline"
"6551","SNRPA1","RNA splicing, via transesterification reactions"
"6552","SNRPA1","lymph node"
"6553","SNRPA1","Gene Expression"
"6554","SNRPA1","mRNA Splicing"
"6555","SNRPA1","Processing of Capped Intron-Containing Pre-mRNA"
"6556","SNRPA1","mRNA Processing"
"6557","SNRPA1","Varenicline"
"6558","RPA3","Varenicline"
"6559","RPA3","Assembly of the RAD51-ssDNA nucleoprotein complex"
"6560","RPA3","Mitotic M-M/G1 phases"
"6561","RPA3","Homologous Recombination Repair"
"6562","RPA3","Chromosome Maintenance"
"6563","RPA3","MMR"
"6564","RPA3","DNA Replication"
"6565","RPA3","Cell Cycle"
"6566","RPA3","Homologous DNA pairing and strand exchange"
"6567","RPA3","DNA Replication"
"6568","RPA3","Synthesis of DNA"
"6569","RPA3","Global Genomic NER (GG-NER)"
"6570","RPA3","Cellular responses to stress"
"6571","RPA3","Removal of the Flap Intermediate from the C-strand"
"6572","RPA3","HSF1 activation"
"6573","RPA3","Presynaptic phase of homologous DNA pairing and strand exchange"
"6574","RPA3","DNA Repair"
"6575","RPA3","Meiosis"
"6576","RPA3","Lagging Strand Synthesis"
"6577","RPA3","Double-Strand Break Repair"
"6578","RPA3","Cell Cycle Checkpoints"
"6579","RPA3","Dual incision reaction in GG-NER"
"6580","RPA3","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"
"6581","RPA3","G1/S Transition"
"6582","RPA3","G1 to S cell cycle control"
"6583","RPA3","Nucleotide Excision Repair"
"6584","RPA3","Mitotic G1-G1/S phases"
"6585","RPA3","DNA Replication Pre-Initiation"
"6586","RPA3","Activation of the pre-replicative complex"
"6587","RPA3","Regulation of HSF1-mediated heat shock response"
"6588","RPA3","S Phase"
"6589","RPA3","Activation of ATR in response to replication stress"
"6590","RPA3","Processive synthesis on the C-strand of the telomere"
"6591","RPA3","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)"
"6592","RPA3","Extension of Telomeres"
"6593","RPA3","Cell Cycle, Mitotic"
"6594","RPA3","Telomere C-strand (Lagging Strand) Synthesis"
"6595","RPA3","Cellular response to heat stress"
"6596","RPA3","Telomere Maintenance"
"6597","RPA3","Removal of the Flap Intermediate"
"6598","RPA3","Repair synthesis for gap-filling by DNA polymerase in TC-NER"
"6599","RPA3","Transcription-coupled NER (TC-NER)"
"6600","RPA3","Processive synthesis on the lagging strand"
"6601","RPA3","Gap-filling DNA repair synthesis and ligation in GG-NER"
"6602","RPA3","DNA strand elongation"
"6603","RPA3","G2/M Checkpoints"
"6604","RPA3","Processing of DNA double-strand break ends"
"6605","RPA3","Retinoblastoma (RB) in Cancer"
"6606","RPA3","Meiotic recombination"
"6607","RPA3","liver"
"6608","RPA3","detection of stimulus"
"6609","TUBA1A","cell cycle phase transition"
"6610","TUBA1A","lymph node"
"6611","TUBA1A","Albendazole"
"6612","TUBA1A","Vinblastine"
"6613","TUBA1A","Mebendazole"
"6614","TUBA1A","Prefoldin mediated transfer of substrate to CCT/TriC"
"6615","TUBA1A","Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding"
"6616","TUBA1A","Centrosome maturation"
"6617","TUBA1A","Cell Cycle, Mitotic"
"6618","TUBA1A","Mitotic G2-G2/M phases"
"6619","TUBA1A","Regulation of PLK1 Activity at G2/M Transition"
"6620","TUBA1A","Chaperonin-mediated protein folding"
"6621","TUBA1A","Post-chaperonin tubulin folding pathway"
"6622","TUBA1A","Pathogenic Escherichia coli infection"
"6623","TUBA1A","Protein folding"
"6624","TUBA1A","Formation of tubulin folding intermediates by CCT/TriC"
"6625","TUBA1A","Metabolism of proteins"
"6626","TUBA1A","Parkin-Ubiquitin Proteasomal System pathway"
"6627","TUBA1A","Loss of Nlp from mitotic centrosomes"
"6628","TUBA1A","G2/M Transition"
"6629","TUBA1A","p73 transcription factor network"
"6630","TUBA1A","Cell Cycle"
"6631","TUBA1A","Varenicline"
"6632","NDUFA9","cofactor metabolic process"
"6633","NDUFA9","liver"
"6634","NDUFA9","Metformin"
"6635","NDUFA9","Metabolism"
"6636","NDUFA9","The citric acid (TCA) cycle and respiratory electron transport"
"6637","NDUFA9","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"6638","NDUFA9","Oxidative phosphorylation"
"6639","NDUFA9","Electron Transport Chain"
"6640","NDUFA9","Respiratory electron transport"
"6641","NDUFA9","Varenicline"
"6642","PROCR","localization of cell"
"6643","PROCR","lymph node"
"6644","PROCR","Common Pathway"
"6645","PROCR","Formation of Fibrin Clot (Clotting Cascade)"
"6646","PROCR","Hemostasis"
"6647","PROCR","Cell surface interactions at the vascular wall"
"6648","PROCR","Varenicline"
"6649","MRPS35","detection of stimulus"
"6650","MRPS35","lymph node"
"6651","MRPS35","Mitochondrial translation"
"6652","MRPS35","Mitochondrial translation initiation"
"6653","MRPS35","Mitochondrial translation termination"
"6654","MRPS35","Organelle biogenesis and maintenance"
"6655","MRPS35","Mitochondrial translation elongation"
"6656","MRPS35","Varenicline"
"6657","HSPE1","protein maturation"
"6658","HSPE1","lymph node"
"6659","HSPE1","Varenicline"
"6660","DAD1","glycosylation"
"6661","DAD1","lymph node"
"6662","DAD1","Metabolism of proteins"
"6663","DAD1","Asparagine N-linked glycosylation"
"6664","DAD1","Post-translational protein modification"
"6665","DAD1","Varenicline"
"6666","FAM96B","metallo-sulfur cluster assembly"
"6667","FAM96B","lymph node"
"6668","FAM96B","Metabolism"
"6669","FAM96B","Cytosolic iron-sulfur cluster assembly"
"6670","FAM96B","Varenicline"
"6671","AP2S1","regulation of vesicle-mediated transport"
"6672","AP2S1","lymph node"
"6673","AP2S1","Neurotransmitter Receptor Binding And Downstream Transmission In The Postsynaptic Cell"
"6674","AP2S1","WNT5A-dependent internalization of FZD2, FZD5 and ROR2"
"6675","AP2S1","HIV Infection"
"6676","AP2S1","Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity"
"6677","AP2S1","PCP/CE pathway"
"6678","AP2S1","EPH-Ephrin signaling"
"6679","AP2S1","Host Interactions of HIV factors"
"6680","AP2S1","beta-catenin independent WNT signaling"
"6681","AP2S1","Signaling by EGFR in Cancer"
"6682","AP2S1","Signaling by EGFR"
"6683","AP2S1","Synaptic Vesicle Pathway"
"6684","AP2S1","EPH-ephrin mediated repulsion of cells"
"6685","AP2S1","MHC class II antigen presentation"
"6686","AP2S1","Recycling pathway of L1"
"6687","AP2S1","EGF/EGFR Signaling Pathway"
"6688","AP2S1","EGFR downregulation"
"6689","AP2S1","Developmental Biology"
"6690","AP2S1","Nef Mediated CD8 Down-regulation"
"6691","AP2S1","Immune System"
"6692","AP2S1","Disease"
"6693","AP2S1","WNT5A-dependent internalization of FZD4"
"6694","AP2S1","Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"
"6695","AP2S1","Neuronal System"
"6696","AP2S1","Adaptive Immune System"
"6697","AP2S1","Signaling Pathways"
"6698","AP2S1","Transmission across Chemical Synapses"
"6699","AP2S1","The role of Nef in HIV-1 replication and disease pathogenesis"
"6700","AP2S1","NGF signalling via TRKA from the plasma membrane"
"6701","AP2S1","Axon guidance"
"6702","AP2S1","Signaling by NGF"
"6703","AP2S1","Nef Mediated CD4 Down-regulation"
"6704","AP2S1","Trafficking of GluR2-containing AMPA receptors"
"6705","AP2S1","L1CAM interactions"
"6706","AP2S1","Signaling by Wnt"
"6707","AP2S1","Retrograde neurotrophin signalling"
"6708","AP2S1","Varenicline"
"6709","COX4I1","DNA-templated transcription, initiation"
"6710","COX4I1","lymph node"
"6711","COX4I1","Metabolism"
"6712","COX4I1","The citric acid (TCA) cycle and respiratory electron transport"
"6713","COX4I1","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"6714","COX4I1","Electron Transport Chain"
"6715","COX4I1","Transmembrane transport of small molecules"
"6716","COX4I1","Respiratory electron transport"
"6717","COX4I1","Orphan transporters"
"6718","COX4I1","Varenicline"
"6719","TSR3","ribonucleoprotein complex biogenesis"
"6720","TSR3","lymph node"
"6721","TSR3","Varenicline"
"6722","CANT1","positive regulation of I-kappaB kinase/NF-kappaB signaling"
"6723","CANT1","lymph node"
"6724","CANT1","Varenicline"
"6725","LRRC41","protein modification by small protein conjugation"
"6726","LRRC41","lymph node"
"6727","LRRC41","Class I MHC mediated antigen processing & presentation"
"6728","LRRC41","Immune System"
"6729","LRRC41","Adaptive Immune System"
"6730","LRRC41","Antigen processing: Ubiquitination & Proteasome degradation"
"6731","LRRC41","Varenicline"
"6732","CD2BP2","ribonucleoprotein complex biogenesis"
"6733","CD2BP2","lymph node"
"6734","CD2BP2","Gene Expression"
"6735","CD2BP2","mRNA Splicing"
"6736","CD2BP2","Processing of Capped Intron-Containing Pre-mRNA"
"6737","CD2BP2","mRNA Processing"
"6738","CD2BP2","Varenicline"
"6739","BFAR","negative regulation of apoptotic process"
"6740","BFAR","lymph node"
"6741","BFAR","Varenicline"
"6742","HTATSF1","RNA splicing, via transesterification reactions"
"6743","HTATSF1","lymph node"
"6744","HTATSF1","Varenicline"
"6745","EIF6","ribonucleoprotein complex biogenesis"
"6746","EIF6","lymph node"
"6747","EIF6","Translation Factors"
"6748","EIF6","Varenicline"
"6749","MLEC","glycosylation"
"6750","MLEC","lymph node"
"6751","MLEC","Metabolism of proteins"
"6752","MLEC","Asparagine N-linked glycosylation"
"6753","MLEC","Post-translational protein modification"
"6754","MLEC","N-glycan trimming in the ER and Calnexin/Calreticulin cycle"
"6755","MLEC","Varenicline"
"6756","ADSL","purine ribonucleoside biosynthetic process"
"6757","ADSL","lymph node"
"6758","ADSL","Metabolism"
"6759","ADSL","Purine metabolism"
"6760","ADSL","Nucleotide Metabolism"
"6761","ADSL","Nucleotide metabolism"
"6762","ADSL","Purine ribonucleoside monophosphate biosynthesis"
"6763","ADSL","Varenicline"
"6764","HSPD1","immune response-regulating signaling pathway"
"6765","HSPD1","lymph node"
"6766","HSPD1","Endogenous TLR signaling"
"6767","HSPD1","Validated targets of C-MYC transcriptional activation"
"6768","HSPD1","Apoptosis-related network due to altered Notch3 in ovarian cancer"
"6769","HSPD1","Metabolism of proteins"
"6770","HSPD1","SIDS Susceptibility Pathways"
"6771","HSPD1","Mitochondrial protein import"
"6772","HSPD1","Varenicline"
"6773","POLR1D","DNA-templated transcription, initiation"
"6774","POLR1D","lymph node"
"6775","POLR1D","NoRC negatively regulates rRNA expression"
"6776","POLR1D","RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"
"6777","POLR1D","RNA Polymerase I Chain Elongation"
"6778","POLR1D","RNA Polymerase III Transcription Initiation From Type 1 Promoter"
"6779","POLR1D","RNA Polymerase I Transcription"
"6780","POLR1D","Gene Expression"
"6781","POLR1D","Epigenetic regulation of gene expression"
"6782","POLR1D","RNA Polymerase III Transcription Termination"
"6783","POLR1D","RNA Polymerase I Transcription Initiation"
"6784","POLR1D","RNA Polymerase I Transcription Termination"
"6785","POLR1D","RNA Polymerase III Transcription Initiation From Type 3 Promoter"
"6786","POLR1D","RNA Polymerase I Promoter Clearance"
"6787","POLR1D","Transcription"
"6788","POLR1D","RNA Polymerase III Transcription Initiation From Type 2 Promoter"
"6789","POLR1D","Immune System"
"6790","POLR1D","RNA Polymerase I Promoter Escape"
"6791","POLR1D","Negative epigenetic regulation of rRNA expression"
"6792","POLR1D","Innate Immune System"
"6793","POLR1D","Eukaryotic Transcription Initiation"
"6794","POLR1D","RNA Polymerase III Abortive And Retractive Initiation"
"6795","POLR1D","Cytosolic sensors of pathogen-associated DNA"
"6796","POLR1D","RNA Polymerase III Chain Elongation"
"6797","POLR1D","RNA Polymerase III Transcription Initiation"
"6798","POLR1D","Varenicline"
"6799","NDUFA13","protein localization to mitochondrion"
"6800","NDUFA13","liver"
"6801","NDUFA13","Metformin"
"6802","NDUFA13","Metabolism"
"6803","NDUFA13","The citric acid (TCA) cycle and respiratory electron transport"
"6804","NDUFA13","EGF/EGFR Signaling Pathway"
"6805","NDUFA13","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"6806","NDUFA13","Respiratory electron transport"
"6807","NDUFA13","NOD pathway"
"6808","NDUFA13","Varenicline"
"6809","SNRPD2","ribonucleoprotein complex biogenesis"
"6810","SNRPD2","lymph node"
"6811","SNRPD2","Non-coding RNA Metabolism"
"6812","SNRPD2","Gene Expression"
"6813","SNRPD2","mRNA Splicing"
"6814","SNRPD2","U12 Dependent Splicing"
