Gene,Gene_ID,Relation,BiologicalProcess,BiologicalProcess_ID
CBLL1,79872,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAC2,5880,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
UNC13B,10497,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
AP2S1,1175,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SYT4,6860,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
LAMP1,3916,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TSPAN1,10103,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB2B,84932,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
NDRG4,65009,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SNX17,9784,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C2CD5,9847,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
AHSG,197,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
DKK1,22943,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ANKRD27,84079,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
MVB12A,93343,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
EEF2K,29904,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB5B,5869,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SCAMP5,192683,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB26,25837,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
LDLRAP1,26119,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SYTL4,94121,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RIMS3,9783,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
BCR,613,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STX18,53407,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ARHGAP21,57584,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TSG101,7251,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
DNM1,1759,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STXBP2,6813,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RNF139,11236,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
LRSAM1,90678,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
MIB1,57534,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB5C,5878,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ITGAV,3685,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C2,717,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SDCBP,6386,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SYT1,6857,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VPS11,55823,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB4B,53916,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
NAPA,8775,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PRKCG,5582,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RSG1,79363,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VPS37B,79720,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ACSL3,2181,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RIMS4,140730,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
EXPH5,23086,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STXBP5,134957,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
HIP1,3092,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CLASP1,23332,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STXBP1,6812,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SORL1,6653,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAPGEF4,11069,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SMPD3,55512,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
EPN2,22905,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STON1,11037,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
LGALS3,3958,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CACNA1I,8911,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PACSIN2,11252,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RINT1,60561,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TRPV6,55503,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STX1A,6804,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RALB,5899,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TOR1A,1861,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CADPS2,93664,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SLAMF1,6504,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SDC4,6385,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB3B,5865,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
USE1,55850,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
DNAJC6,9829,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
MSN,4478,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TF,7018,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SGIP1,84251,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB3A,5864,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PFN2,5217,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CALY,50632,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C12orf4,57102,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CACNA1H,8912,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CNST,163882,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C4A,720,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
BIN1,274,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
NLGN1,22871,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SYT9,143425,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
AAK1,22848,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PTX3,5806,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STXBP3,6814,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VTN,7448,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
NCS1,23413,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
MFGE8,4240,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ITGB1,3688,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
GOSR1,9527,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
DAB2,1601,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
NSF,4905,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
GNB2L1,10399,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
HGS,9146,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ABR,29,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CD47,961,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SPINK8,646424,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CORO1A,11151,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C4BPB,725,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VPS4B,9525,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
C4B,721,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VPS28,51160,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PTPN23,25930,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TBC1D4,9882,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB7A,7879,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ANO6,196527,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PROS1,5627,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB3C,115827,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
BICD1,636,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PRAM1,84106,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB9A,9367,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ARF6,382,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
SPINK1,6690,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TNK2,10188,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
ACTN4,81,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
UVRAG,7405,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RPH3AL,9501,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
AP1G1,164,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAP1GAP,5909,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RAB15,376267,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
STON2,85439,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
TUB,7275,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
RUFY1,80230,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
MEX3B,84206,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
VPS41,27072,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PCLO,27445,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
PICALM,8301,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
CAMK1D,57118,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
GAS1,2619,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
DNAJC13,23317,PARTICIPATES_GpBP,regulation of vesicle-mediated transport,GO:0060627
GBA,2629,PARTICIPATES_GpBP,skin morphogenesis,GO:0043589
RBPMS,11030,PARTICIPATES_GpBP,positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0010862
MIEF2,125170,PARTICIPATES_GpBP,regulation of mitochondrial fission,GO:0090140
MIEF1,54471,PARTICIPATES_GpBP,regulation of mitochondrial fission,GO:0090140
BNIP3,664,PARTICIPATES_GpBP,regulation of mitochondrial fission,GO:0090140
INF2,64423,PARTICIPATES_GpBP,regulation of mitochondrial fission,GO:0090140
GET4,51608,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TOPORS,10210,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
MORC3,23515,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SYNE2,23224,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
FLNA,2316,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
GOLPH3,64083,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
DBN1,1627,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
DAG1,1605,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SUN2,25777,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
GSN,2934,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
EPB41L3,23136,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TAF3,83860,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
NR5A1,2516,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
KDELR1,10945,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TAF8,129685,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
ANKRD13C,81573,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TLN1,7094,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SUN1,23353,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SUPT7L,9913,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
LATS1,9113,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
KDELR3,11015,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TWF1,5756,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TMSB4Y,9087,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
TLN2,83660,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
PDIA2,64714,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
PDIA3,2923,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SYNE3,161176,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
ARL2,402,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
SYNE1,23345,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
KDELR2,11014,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
ARL2BP,23568,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
FLNB,2317,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
JUP,3728,PARTICIPATES_GpBP,maintenance of protein location in cell,GO:0032507
PCBD1,5092,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
ITGA4,3676,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
ICA1,3382,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
TNFSF18,8995,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
BAK1,578,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
CRBN,51185,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
TRAF4,9618,PARTICIPATES_GpBP,regulation of protein homodimerization activity,GO:0043496
PGR,5241,PARTICIPATES_GpBP,epithelial cell maturation,GO:0002070
FEM1B,10116,PARTICIPATES_GpBP,epithelial cell maturation,GO:0002070
TMEM79,84283,PARTICIPATES_GpBP,epithelial cell maturation,GO:0002070
FOXA1,3169,PARTICIPATES_GpBP,epithelial cell maturation,GO:0002070
ROBO2,6092,PARTICIPATES_GpBP,negative regulation of negative chemotaxis,GO:0050925
DMRT3,58524,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
NKX6-2,84504,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
FOXA2,3170,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
EVX1,2128,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
MNX1,3110,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
HOXC10,3226,PARTICIPATES_GpBP,neuron fate specification,GO:0048665
AQP1,358,PARTICIPATES_GpBP,metanephric loop of Henle development,GO:0072236
DMD,1756,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
HRC,3270,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
CACNA1C,775,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
ANK2,287,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
CASQ1,844,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
ASPH,444,PARTICIPATES_GpBP,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010880
ATP6V0A2,23545,PARTICIPATES_GpBP,vacuolar proton-transporting V-type ATPase complex assembly,GO:0070072
ATP6V0A1,535,PARTICIPATES_GpBP,vacuolar proton-transporting V-type ATPase complex assembly,GO:0070072
VMA21,203547,PARTICIPATES_GpBP,vacuolar proton-transporting V-type ATPase complex assembly,GO:0070072
TCIRG1,10312,PARTICIPATES_GpBP,vacuolar proton-transporting V-type ATPase complex assembly,GO:0070072
ALDOB,229,PARTICIPATES_GpBP,vacuolar proton-transporting V-type ATPase complex assembly,GO:0070072
AMBRA1,55626,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SPTLC1,10558,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
LARP1,23367,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
RAB3GAP2,25782,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SQSTM1,8878,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
KIAA1324,57535,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
EPM2A,7957,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
RAB12,201475,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SCOC,60592,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
TRIM13,10206,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
PRKAA2,5563,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
BECN1,8678,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
CALCOCO2,10241,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
WDFY3,23001,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
ULK1,8408,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
WAC,51322,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
BNIP3L,665,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SPTLC2,9517,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SUPT5H,6829,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
SH3GLB1,51100,PARTICIPATES_GpBP,positive regulation of response to extracellular stimulus,GO:0032106
EPCAM,4072,PARTICIPATES_GpBP,negative regulation of cell-cell adhesion mediated by cadherin,GO:2000048
PID1,55022,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
GPR65,8477,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
VCP,7415,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
RAMP1,10267,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
PTGER3,5733,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
APLP1,333,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
MRAP,56246,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
ADCY7,113,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
PTGIR,5739,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
OXER1,165140,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
GPR161,23432,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
PALM,5064,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
ECE1,1889,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
NPR3,4883,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
PTHLH,5744,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
FLCN,201163,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
EDNRB,1910,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
MRAP2,112609,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
GNAI3,2773,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
RAMP2,10266,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
LPAR1,1902,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
PDZD3,79849,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
OPRL1,4987,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
P2RY13,53829,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
GNAI2,2771,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
STAT3,6774,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
AKAP12,9590,PARTICIPATES_GpBP,regulation of nucleotide biosynthetic process,GO:0030808
CAST,831,PARTICIPATES_GpBP,egg activation,GO:0007343
TPST2,8459,PARTICIPATES_GpBP,egg activation,GO:0007343
MBNL1,4154,PARTICIPATES_GpBP,limb development,GO:0060173
PBX1,5087,PARTICIPATES_GpBP,limb development,GO:0060173
MED31,51003,PARTICIPATES_GpBP,limb development,GO:0060173
PRRX1,5396,PARTICIPATES_GpBP,limb development,GO:0060173
IDUA,3425,PARTICIPATES_GpBP,limb development,GO:0060173
LMBR1,64327,PARTICIPATES_GpBP,limb development,GO:0060173
B9D1,27077,PARTICIPATES_GpBP,limb development,GO:0060173
RC3H2,54542,PARTICIPATES_GpBP,limb development,GO:0060173
NR2F2,7026,PARTICIPATES_GpBP,limb development,GO:0060173
PAM,5066,PARTICIPATES_GpBP,limb development,GO:0060173
FZD6,8323,PARTICIPATES_GpBP,limb development,GO:0060173
IFT140,9742,PARTICIPATES_GpBP,limb development,GO:0060173
C2CD3,26005,PARTICIPATES_GpBP,limb development,GO:0060173
FBXW4,6468,PARTICIPATES_GpBP,limb development,GO:0060173
GNAQ,2776,PARTICIPATES_GpBP,limb development,GO:0060173
WDPCP,51057,PARTICIPATES_GpBP,limb development,GO:0060173
FLVCR1,28982,PARTICIPATES_GpBP,limb development,GO:0060173
ITGB4,3691,PARTICIPATES_GpBP,limb development,GO:0060173
IFT52,51098,PARTICIPATES_GpBP,limb development,GO:0060173
PCNT,5116,PARTICIPATES_GpBP,limb development,GO:0060173
LRP5,4041,PARTICIPATES_GpBP,limb development,GO:0060173
CHST11,50515,PARTICIPATES_GpBP,limb development,GO:0060173
CHD7,55636,PARTICIPATES_GpBP,limb development,GO:0060173
FUZ,80199,PARTICIPATES_GpBP,limb development,GO:0060173
DYNC2H1,79659,PARTICIPATES_GpBP,limb development,GO:0060173
HDAC2,3066,PARTICIPATES_GpBP,limb development,GO:0060173
TMEM107,84314,PARTICIPATES_GpBP,limb development,GO:0060173
TULP3,7289,PARTICIPATES_GpBP,limb development,GO:0060173
PITX1,5307,PARTICIPATES_GpBP,limb development,GO:0060173
ACD,65057,PARTICIPATES_GpBP,limb development,GO:0060173
PBX2,5089,PARTICIPATES_GpBP,limb development,GO:0060173
IFT172,26160,PARTICIPATES_GpBP,limb development,GO:0060173
ITGA6,3655,PARTICIPATES_GpBP,limb development,GO:0060173
MYH3,4621,PARTICIPATES_GpBP,limb development,GO:0060173
C5orf42,65250,PARTICIPATES_GpBP,limb development,GO:0060173
TRAF3IP1,26146,PARTICIPATES_GpBP,limb development,GO:0060173
AFF3,3899,PARTICIPATES_GpBP,limb development,GO:0060173
TBX2,6909,PARTICIPATES_GpBP,limb development,GO:0060173
PCSK5,5125,PARTICIPATES_GpBP,limb development,GO:0060173
HAND2,9464,PARTICIPATES_GpBP,limb development,GO:0060173
MEOX2,4223,PARTICIPATES_GpBP,limb development,GO:0060173
GNA12,2768,PARTICIPATES_GpBP,limb development,GO:0060173
DICER1,23405,PARTICIPATES_GpBP,limb development,GO:0060173
SMOC1,64093,PARTICIPATES_GpBP,limb development,GO:0060173
COMP,1311,PARTICIPATES_GpBP,limb development,GO:0060173
NOTCH2,4853,PARTICIPATES_GpBP,limb development,GO:0060173
PRRX2,51450,PARTICIPATES_GpBP,limb development,GO:0060173
CLU,1191,PARTICIPATES_GpBP,negative regulation of beta-amyloid formation,GO:1902430
YWHAE,7531,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
LHX2,9355,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
MDGA1,266727,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
ADGRG1,9289,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
LRP8,7804,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
DIXDC1,85458,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
SOX2,6657,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
WDR62,284403,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
SRGAP2,23380,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
CDON,50937,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
LHX6,26468,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
NEFH,4744,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
MDK,4192,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
C16orf45,89927,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
NCOA1,8648,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
CUL5,8065,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
CX3CR1,1524,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
VLDLR,7436,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
FAT4,79633,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
ATIC,471,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
PEX13,5194,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
EMX2,2018,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
EOMES,8320,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
TACC1,6867,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
CEP120,153241,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
TSC1,7248,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
TACC2,10579,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
TRA2B,6434,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
FGF13,2258,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
SLC38A2,54407,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
GNG12,55970,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
FBXO45,200933,PARTICIPATES_GpBP,cerebral cortex development,GO:0021987
