Gene,Gene_ID,Relation,Pathway,Pathway_ID
TGIF1,7050,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
STAT3,6774,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
JAK1,3716,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TGFBR2,7048,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TNF,7124,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
EP300,2033,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
NFKB1,4790,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ZNF423,23090,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
THBS1,7057,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TFE3,7030,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
NOG,9241,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
STAT1,6772,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SKI,6497,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
LEFTY1,10637,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD4,4089,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD2,4087,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ITGB6,3694,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TGFBR3,7049,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
IFNG,3458,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
MAPK9,5601,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
FKBP1A,2280,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SKIL,6498,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
LEF1,51176,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
FST,10468,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ZFYVE9,9372,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD7,4092,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD5,4090,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SPP1,6696,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
LIF,3976,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
BMP4,652,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ZEB2,9839,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
RUNX3,864,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
TGFBR1,7046,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
RUNX2,860,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ENG,2022,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
SMAD3,4088,PARTICIPATES_GpPW,TGF-beta Receptor Signaling,WP560_r83868
ITGA8,8516,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
FBLN1,2192,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
MFAP1,4236,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
LTBP3,4054,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
FBLN5,10516,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
EFEMP1,2202,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
EFEMP2,30008,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
TGFB2,7042,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
LTBP2,4053,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
MFAP5,8076,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
BMP7,655,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
LTBP4,8425,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
MFAP2,4237,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
BMP2,650,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
MFAP4,4239,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
FBLN2,2199,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
ITGB8,3696,PARTICIPATES_GpPW,Molecules associated with elastic fibres,PC7_5537
LIG1,3978,PARTICIPATES_GpPW,Resolution of D-loop structures,PC7_6939
APEX1,328,PARTICIPATES_GpPW,Resolution of D-loop structures,PC7_6939
KLC4,89953,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK4,9732,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK2,1794,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK6,57572,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RAD51B,5890,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK11,139818,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
NFE2,4778,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HBB,3043,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CDK2,1017,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MAFF,23764,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
VPS45,11311,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK10,55619,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKAR2A,5576,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
H3F3B,3021,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
JAK2,3717,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IRF2,3660,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MFN2,9927,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK9,23348,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
SH2B3,10019,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RAD51C,5889,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IRF7,3665,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
AKAP1,8165,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF5B,3799,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IRF3,3661,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKAR1A,5573,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CAPZB,832,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF3A,11127,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF3B,9371,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CABLES2,81928,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HBG1,3047,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF23,9493,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF22,3835,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CABLES1,91768,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CAPZA1,829,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
GATA4,2626,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
AK3,50808,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
ITPK1,3705,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKACB,5567,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
EHD3,30845,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IFNA2,3440,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIFAP3,22920,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK8,81704,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKACA,5566,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
LRRC16A,55604,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IFNB1,3456,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
GATA6,2627,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
ZFPM2,23414,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MAFG,4097,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CAPZA2,830,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RCOR1,23186,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CDC42,998,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
GATA3,2625,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
ABL1,25,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF20A,10112,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF2C,11004,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RACGAP1,29127,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
GATA2,2624,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKAR1B,5575,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF26A,26153,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KLC2,64837,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
PRKAR2B,5577,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF11,3832,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RBSN,64145,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
TP53,7157,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF3C,3797,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
JMJD1C,221037,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MYB,4602,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MFN1,55669,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK7,85440,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
H3F3A,3020,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
SH2B2,10603,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
EHD1,10938,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
CBX5,23468,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
RAB5A,5868,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HBG2,3048,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
EHD2,30846,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
WEE1,7465,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
ZFPM1,161882,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KDM1A,23028,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HDAC2,3066,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
AKAP10,11216,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HMG20B,10362,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
MAFK,7975,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KLC1,3831,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IFNA1,3439,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
SIN3A,25942,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
SH2B1,25970,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
DOCK5,80005,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
IRF1,3659,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
HBE1,3046,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
KIF4A,24137,PARTICIPATES_GpPW,Factors involved in megakaryocyte development and platelet production,PC7_3869
XRCC5,7520,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
HMGA1,3159,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
PSIP1,11168,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
LIG4,3981,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
KPNA1,3836,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
XRCC6,2547,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
XRCC4,7518,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
BANF1,8815,PARTICIPATES_GpPW,Integration of provirus,PC7_4755
F9,2158,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
GGCX,2677,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
F7,2155,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
F10,2159,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
PROZ,8858,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
FURIN,5045,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
VKORC1,79001,PARTICIPATES_GpPW,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",PC7_4100
GNAQ,2776,PARTICIPATES_GpPW,Oxytocin signaling,WP2889_r79753
CD38,952,PARTICIPATES_GpPW,Oxytocin signaling,WP2889_r79753
PLCD1,5333,PARTICIPATES_GpPW,Oxytocin signaling,WP2889_r79753
NUP188,23511,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H4B,554313,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
TPR,7175,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP62,23636,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4I,8294,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUPL2,11097,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
TSNAX,7257,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP43,348995,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2L,5441,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2J,5439,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4A,8359,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
PRKRA,8575,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POM121,9883,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2H,5437,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP37,79023,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP88,4927,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP214,8021,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4D,8360,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
DROSHA,29102,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2F,5435,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
XPO5,57510,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
IPO8,10526,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4H,8365,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2I,5438,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
RANBP2,5903,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H2BM,8342,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP205,23165,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H2AA3,8337,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUPL1,9818,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP133,55746,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP98,4928,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H2AE,3012,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP210,23225,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4L,8368,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
TARBP2,6895,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H2BE,8349,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP153,9972,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2K,5440,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST4H4,121504,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2C,5432,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
H2AFX,3014,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H2BD,3017,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
H2AFZ,3015,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4J,8363,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
SEH1L,81929,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
AAAS,8086,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4C,8364,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP50,10762,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4E,8367,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2B,5431,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
DICER1,23405,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP54,53371,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP35,129401,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP107,57122,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2G,5436,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP160,23279,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H4A,8370,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H2BK,85236,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP93,9688,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4K,8362,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4B,8366,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2A,5430,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H2AA4,723790,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
TSN,7247,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST2H2AC,8338,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP155,9631,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
NUP85,79902,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H4F,8361,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
POLR2E,5434,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
HIST1H2AB,8335,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
DGCR8,54487,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
RAN,5901,PARTICIPATES_GpPW,Regulatory RNA pathways,PC7_6923
IQGAP1,8826,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
CIT,11113,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
PAK3,5063,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
ROCK1,6093,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
PFN1,5216,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
ROCK2,9475,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
PIP4K2A,5305,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
TNK2,10188,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
MAPK10,5602,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
ARHGEF1,9138,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
LIMK1,3984,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
CFL2,1073,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
WASL,8976,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
ARHGDIB,397,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
SH3RF1,57630,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
DIAPH1,1729,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
CYFIP1,23191,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
WAS,7454,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
GNA13,10672,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
PKN1,5585,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
IQGAP2,10788,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
RPS6KB1,6198,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
CFL1,1072,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
PPP1CB,5500,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
MAP3K4,4216,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
RHPN2,85415,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
RHOA,387,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
RTKN,6242,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
MYL1,4632,PARTICIPATES_GpPW,G13 Signaling Pathway,WP524_r72112
SERPINB2,5055,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
IL2,3558,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
PTGES3,10728,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
POLK,51426,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
IGFBP1,3484,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
AIP,9049,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CYP1A2,1544,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CES3,23491,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
JUND,3727,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
NCOA1,8648,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
JUNB,3726,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
GSTA2,2939,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
NFE2L2,4780,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A7,54577,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
BAX,581,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A6,54578,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
HSP90AA1,3320,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
ARNT,405,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A9,54600,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
AHRR,57491,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
AHR,196,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CYP1A1,1543,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CYP1B1,1545,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A3,54659,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A1,54658,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
MGST1,4257,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CAP2,10486,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
IL12A,3592,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
CDC37,11140,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
ALDH3A1,218,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
UGT1A4,54657,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
HES1,3280,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
MYOF,26509,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
NQO1,1728,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
IL1B,3553,PARTICIPATES_GpPW,Aryl Hydrocarbon Receptor Pathway,WP2873_r79696
